Designator,Mid X,Mid Y,Rotation,Layer
BT1,4.0,85.975,0.0,top
LS1,46.82,88.23,90.0,top
R1,51.17,64.64,180.0,top
R2,51.17,70.065,180.0,top
R3,39.74,18.285,90.0,top
R4,51.17,75.065,180.0,top
R5,51.17,79.88,180.0,top
R6,44.82,18.285,90.0,top
R7,49.9,18.285,90.0,top
SW1,2.275,44.32,90.0,top
SW2,2.275,33.62,90.0,top
SW3,51.805,39.78,-90.0,top
SW4,19.515,95.66,0.0,top
SW5,8.085,95.66,0.0,top
TP1,2.5,14.5,0.0,top
TP2,2.5,81.5,0.0,top
U1,13.455,27.745,0.0,top
U2,15.03,56.165,0.0,top
U3,46.725,43.05,90.0,top
U4,22.91,85.815,0.0,top
U5,45.455,10.03,0.0,top
U6,30.755,79.15,180.0,bottom
U7,21.96,46.25,180.0,bottom
